| Non-Terminal | $ | ( | ) | * | + | ++ | , | - | -- | / | ; | < | = | > | CONST | ID | float | int | main | while | { | } |
|--------------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|
| add_op |    |    |    |    | 33  |    |    | 34  |    |    |    |    |    |    |    |    |    |    |    |    |    |    |
| cond |    | 19  |    |    |    |    |    |    |    |    |    |    |    |    | 19  | 19  |    |    |    |    |    |    |
| decl |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | 6  | 6  |    |    |    |    |
| expr |    | 22  |    |    |    |    |    |    |    |    |    |    |    |    | 22  | 22  |    |    |    |    |    |    |
| expr_stmt |    |    |    |    |    | 14  |    |    | 14  |    |    |    |    |    |    | 13  |    |    |    |    |    |    |
| expr_stmt_tail |    |    |    |    |    | 16  |    |    | 17  |    |    |    | 15  |    |    |    |    |    |    |    |    |    |
| expr_tail |    |    | 24  |    | 23  | 24  | 24  | 23  | 24  |    | 24  | 24  |    | 24  |    | 24  | 24  | 24  |    | 24  |    | 24  |
| factor |    | 30  |    |    |    |    |    |    |    |    |    |    |    |    | 29  | 28  |    |    |    |    |    |    |
| id_list |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |
| id_tail |    |    |    |    |    |    | 9  |    |    |    | 10  |    |    |    |    |    |    |    |    |    |    |    |
| init_opt |    |    |    |    |    | 12  | 12  |    | 12  |    | 12  |    | 11  |    |    | 12  | 12  | 12  |    | 12  |    | 12  |
| mul_op |    |    |    | 35  |    |    |    |    |    | 36  |    |    |    |    |    |    |    |    |    |    |    |    |
| program |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | 0  |    |    |    |    |
| rel_op |    |    |    |    |    |    |    |    |    |    |    | 20  |    | 21  |    |    |    |    |    |    |    |    |
| stmt |    |    |    |    |    | 4  |    |    | 4  |    |    |    |    |    |    | 4  | 3  | 3  |    | 5  |    |    |
| stmts |    |    |    |    |    | 1  |    |    | 1  |    |    |    |    |    |    | 1  | 1  | 1  |    | 1  |    | 2  |
| term |    | 25  |    |    |    |    |    |    |    |    |    |    |    |    | 25  | 25  |    |    |    |    |    |    |
| term_tail |    |    | 27  | 26  | 27  | 27  | 27  | 27  | 27  | 26  | 27  | 27  |    | 27  |    | 27  | 27  | 27  |    | 27  |    | 27  |
| type |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | 8  | 7  |    |    |    |    |
| unary_op |    |    |    |    |    | 31  |    |    | 32  |    |    |    |    |    |    |    |    |    |    |    |    |    |
| while_stmt |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | 18  |    |    |
