| Stack Contents | Current Input | Production Used | Action |
|---------------|---------------|-----------------|--------|
| $ program | int |  | Initial stack setup |
| $ } stmts { ) ( main int | int | program → int main ( ) { stmts }  | Expand non-terminal |
| $ } stmts { ) ( main | int |  | Match: int |
| $ } stmts { ) ( | main |  | Match: main |
| $ } stmts { ) | ( |  | Match: ( |
| $ } stmts { | ) |  | Match: ) |
| $ } stmts | { |  | Match: { |
| $ } stmts stmt | int | stmts → stmt stmts  | Expand non-terminal |
| $ } stmts decl | int | stmt → decl  | Expand non-terminal |
| $ } stmts ; id_tail init_opt ID type | int | decl → type ID init_opt id_tail ;  | Expand non-terminal |
| $ } stmts ; id_tail init_opt ID int | int | type → int  | Expand non-terminal |
| $ } stmts ; id_tail init_opt ID | int |  | Match: int |
| $ } stmts ; id_tail init_opt | ID |  | Match: ID |
| $ } stmts ; id_tail | , | init_opt → ε  | Expand non-terminal |
| $ } stmts ; id_tail init_opt ID , | , | id_tail → , ID init_opt id_tail  | Expand non-terminal |
| $ } stmts ; id_tail init_opt ID | , |  | Match: , |
| $ } stmts ; id_tail init_opt | ID |  | Match: ID |
| $ } stmts ; id_tail | , | init_opt → ε  | Expand non-terminal |
| $ } stmts ; id_tail init_opt ID , | , | id_tail → , ID init_opt id_tail  | Expand non-terminal |
| $ } stmts ; id_tail init_opt ID | , |  | Match: , |
| $ } stmts ; id_tail init_opt | ID |  | Match: ID |
| $ } stmts ; id_tail | ; | init_opt → ε  | Expand non-terminal |
| $ } stmts ; | ; | id_tail → ε  | Expand non-terminal |
| $ } stmts | ; |  | Match: ; |
| $ } stmts stmt | ID | stmts → stmt stmts  | Expand non-terminal |
| $ } stmts expr_stmt | ID | stmt → expr_stmt  | Expand non-terminal |
| $ } stmts expr_stmt_tail ID | ID | expr_stmt → ID expr_stmt_tail  | Expand non-terminal |
| $ } stmts expr_stmt_tail | ID |  | Match: ID |
| $ } stmts ; expr = | = | expr_stmt_tail → = expr ;  | Expand non-terminal |
| $ } stmts ; expr | = |  | Match: = |
| $ } stmts ; expr_tail term | CONST | expr → term expr_tail  | Expand non-terminal |
| $ } stmts ; expr_tail term_tail factor | CONST | term → factor term_tail  | Expand non-terminal |
| $ } stmts ; expr_tail term_tail CONST | CONST | factor → CONST  | Expand non-terminal |
| $ } stmts ; expr_tail term_tail | CONST |  | Match: CONST |
| $ } stmts ; expr_tail | ; | term_tail → ε  | Expand non-terminal |
| $ } stmts ; | ; | expr_tail → ε  | Expand non-terminal |
| $ } stmts | ; |  | Match: ; |
| $ } stmts stmt | ID | stmts → stmt stmts  | Expand non-terminal |
| $ } stmts expr_stmt | ID | stmt → expr_stmt  | Expand non-terminal |
| $ } stmts expr_stmt_tail ID | ID | expr_stmt → ID expr_stmt_tail  | Expand non-terminal |
| $ } stmts expr_stmt_tail | ID |  | Match: ID |
| $ } stmts ; expr = | = | expr_stmt_tail → = expr ;  | Expand non-terminal |
| $ } stmts ; expr | = |  | Match: = |
| $ } stmts ; expr_tail term | CONST | expr → term expr_tail  | Expand non-terminal |
| $ } stmts ; expr_tail term_tail factor | CONST | term → factor term_tail  | Expand non-terminal |
| $ } stmts ; expr_tail term_tail CONST | CONST | factor → CONST  | Expand non-terminal |
| $ } stmts ; expr_tail term_tail | CONST |  | Match: CONST |
| $ } stmts ; expr_tail | ; | term_tail → ε  | Expand non-terminal |
| $ } stmts ; | ; | expr_tail → ε  | Expand non-terminal |
